title,post_body,price,location,url,bedrooms,bathrooms,datetime,latitude,longitude,cats_allowed,dogs_allowed,geometry,district,post_length
amazing deal on a 2 bed apt in prime bushwick! shared courtyard!,"this is the two bedroom of your dreams! priced under market value, this recently updated apartment has everything you could ask for! plus a small private front patio and huge basement duplex! queen sized bedrooms bedrooms on opposite ends stainless steel kitchen spacious living room private deck area large basement huge shared courtyard laundromat around the corner pets ok! no fee! just 1st/security to move-in! contact adam today for a video tour, 917-817-9529",2750,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-amazing-deal-on-2-bed-apt-in/7702383141.html,2,1.0,['2023-12-29 15:52'],40.69992,-73.918858,1,1,POINT (-73.918858 40.69992),Brooklyn,464.0
"great natural light, large bedroom, hardwood flooring! ☀️","for quickest response, please text (516) 916-7655 with link to listing. stunning 1br in woodside! great natural light large bedroom hardwood flooring",2300,queens,https://newyork.craigslist.org/que/apa/d/astoria-great-natural-light-large/7702383014.html,1,1.0,['2023-12-29 15:52'],40.756238,-73.906821,1,1,POINT (-73.906821 40.756238),Queens,149.0
rare 2br/2ba with massive private backyard! 🏡,"for quickest response, please text (516) 916-7655 with link to listing. rare opportunity! this a 2 bed / 2 bath apartment with a massive private backyard. as you step into the apartment, you’ll be immediately struck by its generous size. with spacious bedrooms and a large open kitchen and living room. the apartment features hardwood flooring, closet space and abundant natural light throughout the day. the butcher block kitchen island separates the kitchen from the living room and the two bedrooms are on opposite ends of the unit. this apartment is less than a 5-minute walk from the myrtle-wyckoff l/m station and located among the neighborhood’s best bar, restaurants and cafes.",3099,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-rare-2br-2ba-with-massive/7702382634.html,2,2.0,['2023-12-29 15:50'],40.701805,-73.913805,1,1,POINT (-73.913805 40.701805),Brooklyn,685.0
🌳crown heights🌳 massive 1 bed + w/d 🧺 tall ceilings!,this apartment is located in the very desirable neighborhood of crown heights ☀️ apartment features: ⚡️heat & hot watwr included ⚡️hardwood floors ⚡️w/d in unit ⚡️tall ceilings ⚡️full bathroom ⚡️open concept ⚡️king sized room ⚡️& more! contact fabron for showings via call/text at (954) 668-4800 📞🏁,2500,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-crown-heights-massive-bed-d/7702382286.html,1,1.0,['2023-12-29 15:50'],40.6753,-73.952,1,1,POINT (-73.952 40.6753),Brooklyn,298.0
luxury 1br with kitchen island in park slope! 🌇,"for quickest response, please text (516) 916-7655 with link to listing. luxury large one bedroom one bath with kitchen island now available! welcome to the alexey, a premier luxury building located in the heart of park slope. if you’re looking for a home that will provide you with the best of both worlds with easy access to every borough in new york, then this is the place to be. all of the apartments feature modern kitchen, hardwood flooring throughout and ample living spaces. all residents have access to enjoy the amazing roof deck with 360 degree views of the city. features: kitchen island dishwasher hardwood floors modern kitchen stainless steel appliances large windows central a/c amenities: concierge doorman children’s playroom bike room fitness center library lounge/ business center communal bbq grills laundry room pet spa zen garden rooftop cabana area roof deck terrace with 360 views",4270,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-luxury-1br-with-kitchen-island/7702382119.html,1,1.0,['2023-12-29 15:49'],40.663761,-73.994229,1,1,POINT (-73.994229 40.663761),Brooklyn,905.0
🌳seriously spacious🌳 studio with massive ceilings! 👁️👄👁️,this apartment is located in the very desirable neighborhood of bushwick 🌳 apartment features: ⚡️stainless steel appliances ⚡️tall ceilings ⚡️double closet ⚡️hardwood floors ⚡️& much more! contact fabron for showings via call/text at (954) 668-4800 🏁📞,2400,bushwick,https://newyork.craigslist.org/brk/apa/d/brooklyn-seriously-spacious-studio-with/7702382125.html,0,1.0,['2023-12-29 15:49'],40.6859,-73.9118,1,1,POINT (-73.9118 40.6859),Brooklyn,251.0
🌳plg🌳 spacious 1 bed + w/d and modern kitchen! 🔥⚡️,this apartment is located in the very desirable neighborhood of prospect lefferts gardens 🌳 apartment features: ⚡️hardwood floors ⚡️w/d in unit ⚡️gas stove ⚡️heat & hot water included ⚡️tall ceilings ⚡️& more! contact fabron for showings via call/text at (954) 668-4800 🏁📞,2500,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-plg-spacious-bed-d-and-modern/7702381915.html,1,1.0,['2023-12-29 15:49'],40.662,-73.9537,1,1,POINT (-73.9537 40.662),Brooklyn,272.0
fully renovated 2br near halsey l train! 🏡,"for quickest response, please text (516) 916-7655 with link to listing. fully renovated 2 bedroom apartment. great location just off wyckoff ave by the halsey l train. lots of natural light and great closet space. the brand new kitchen is stocked with stainless steel appliances, including a dishwasher. subway tiled modern bath. you’ll be right around the corner from dozens of top-rated bars, restaurants, cafes, grocers, and music/art venues. local favorites include norma’s, sweet jane’s, aunt jenny’s, ridgewood ale house, gottscheer hall, while in kathmandu, julia’s wine bar, queen’s tavern, houdini’s kitchen laboratory. short commute to manhattan & easy access to the rest of brooklyn’s hottest neighborhoods. easy commute to l, j , m , z trains",2602,queens,https://newyork.craigslist.org/que/apa/d/brooklyn-fully-renovated-2br-near/7702381904.html,2,1.0,['2023-12-29 15:49'],40.695379,-73.902133,1,1,POINT (-73.902133 40.695379),Queens,754.0
super simple studio + heat/hot water included!!!! 🔥⚡️,this apartment is located in crown heights!! amazing deal for a studio with heat and hot water included! apartment features: ⚡️kitchen ⚡️full bath ⚡️tall ceilings ⚡️hardwood floors ⚡️& more! $1350 brokers fee!!! contact fabron for showings via call/text at (954) 668-4800 📞🏁,1700,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-super-simple-studio-heat-hot/7702381692.html,0,1.0,['2023-12-29 15:48'],40.6712,-73.9365,1,1,POINT (-73.9365 40.6712),Brooklyn,274.0
🔥enormous🔥 5 bed/5 bath in bushwick 🌳 massive rooms!! 😍,"this apartment is located in the very desirable neighborhood of bushwick 🌳 *apartment is undergoing renovations, hence the missing kitchen and appliances. it will be ready by 1/15* apartment features: ⚡️stainless steel appliances ⚡️large living room ⚡️kitchen island ⚡️super tall ceilings ⚡️skylight ⚡️en suite baths for each room ⚡️2 entrances ⚡️laundry in building ⚡️& more! contact fabron for showings via call/text at (954) 668-4800 🏁📞",5100,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-enormous-bed-bath-in-bushwick/7702381491.html,5,5.0,['2023-12-29 15:48'],40.6936,-73.9203,1,1,POINT (-73.9203 40.6936),Brooklyn,439.0
amazing 🔥 bushwick 4 bed! such a deal 🌞☀️✨,this apartment is located in the very desirable neighborhood of bushwick 🌳 apartment features: ⚡️gas stove ⚡️hardwood floors ⚡️tons of natural light ⚡️spacious living room ⚡️open concept ⚡️closets in every room contact fabron for showings via call/text at (954) 668-4800 🏁📞,3600,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-amazing-bushwick-bed-such-deal/7702381368.html,4,,['2023-12-29 15:47'],40.6842,-73.9085,1,1,POINT (-73.9085 40.6842),Brooklyn,273.0
"🪩the perfect 1 bed🪩 + dishwasher, tons of sunlight 🌞 + queen sized room",this apartment is located in the very desirable neighborhood of bushwick 🌳 *must be an 18 month lease* apartment features: ⚡️stainless steel appliances ⚡️dishwasher ⚡️kitchen island ⚡️proper living room ⚡️hardwood floors ⚡️laundry in building ⚡️& more!,2675,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-the-perfect-bed-dishwasher/7702381196.html,1,1.0,['2023-12-29 15:47'],40.6859,-73.9118,1,1,POINT (-73.9118 40.6859),Brooklyn,252.0
